customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Prob,Churn_Predicted
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Mailed check,49.95,587.45,No,0.5491512316441993,Yes
7469-LKBCI,Male,No,No,No,16,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0.0407275615612427,No
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0.4167366882502926,No
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,0.7274944519071255,Yes
5129-JLPIS,Male,No,No,No,25,Yes,No/No phone service,Fiber optic,Yes,No/No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0.6962603041773534,Yes
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0.0565231657343857,No
8191-XWSZG,Female,No,No,No,52,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Mailed check,20.65,1022.95,No,0.0455165485074741,No
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No/No internet service,Yes,No/No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0.1341791444409965,No
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0.4591426060378119,No
4183-MYFRB,Female,No,No,No,21,Yes,No/No phone service,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0.8008608362756595,Yes
8779-QRDMV,Male,Yes,No,No,1,No,No/No phone service,DSL,No/No internet service,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0.7715522859018376,Yes
1680-VDCWW,Male,No,Yes,No,12,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0.1368201988012643,No
1066-JKSGK,Male,No,No,No,1,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.4322714908392622,No
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No/No internet service,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0.0324600019112347,No
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0.0955854564982647,No
6865-JZNKO,Female,No,No,No,30,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0.3187410078058894,No
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,0.7763589452121243,Yes
8665-UTDHZ,Male,No,Yes,Yes,1,No,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Electronic check,30.2,30.2,Yes,0.554571582536841,Yes
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0.0358888098890122,No
8773-HHUOZ,Female,No,No,Yes,17,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,0.7806039172015421,Yes
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No/No internet service,No/No internet service,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0.0368351697144948,No
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0.8603015234622731,Yes
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No/No phone service,DSL,Yes,Yes,Yes,Yes,No/No internet service,No/No internet service,One year,No,Mailed check,66.15,1874.45,No,0.110272982369445,No
7310-EGVHZ,Male,No,No,No,1,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.3893977111192703,No
3413-BMNZE,Male,Yes,No,No,1,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0.666726084895484,Yes
6234-RAAPL,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No/No internet service,Yes,Yes,No/No internet service,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0.0378751497342165,No
6047-YHPVI,Male,No,No,No,5,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0.8346088068721929,Yes
6572-ADKRS,Female,No,No,No,46,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0.577825644127606,Yes
5380-WJKOV,Male,No,No,No,34,Yes,Yes,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,0.8408799733572473,Yes
8168-UQWWF,Female,No,No,No,11,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0.8706402046001797,Yes
8865-TNMNX,Male,No,Yes,Yes,10,Yes,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Mailed check,49.55,475.7,No,0.3278217104281772,No
9489-DEDVP,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0.0324100845384213,No
9867-JCZSP,Female,No,Yes,Yes,17,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Mailed check,20.75,418.25,No,0.1431727250256342,No
4671-VJLCL,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No/No internet service,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0.0283467785847918,No
4080-IIARD,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No/No internet service,Yes,Yes,No/No internet service,Month-to-month,Yes,Electronic check,76.2,981.45,No,0.497800772653554,No
3714-NTNFO,Female,No,No,No,49,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0.7415899036175979,Yes
5948-UJZLF,Male,No,No,No,2,Yes,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,49.25,97.0,No,0.62086639502729,Yes
7760-OYPDY,Female,No,No,No,2,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0.8779251233723638,Yes
7639-LIAYI,Male,No,No,No,52,Yes,Yes,DSL,Yes,No/No internet service,No/No internet service,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0.057591733829961,No
2954-PIBKO,Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0.020801943246487,No
8012-SOUDQ,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0.7251071132172943,Yes
9420-LOJKX,Female,No,No,No,15,Yes,No/No phone service,Fiber optic,Yes,Yes,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,0.6166203613313596,Yes
6575-SUVOI,Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No/No internet service,No/No internet service,Yes,Yes,No/No internet service,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0.3628169608134137,No
7495-OOKFY,Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0.7024206846431539,Yes
4667-QONEA,Female,Yes,Yes,Yes,60,Yes,No/No phone service,DSL,Yes,Yes,Yes,Yes,No/No internet service,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0.0662893203145769,No
1658-BYGOY,Male,Yes,No,No,18,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,0.8881450184937362,Yes
8769-KKTPH,Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0.2996923898578569,No
5067-XJQFU,Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No/No internet service,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0.3957852747166482,No
3957-SQXML,Female,No,Yes,Yes,34,Yes,Yes,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0.0267341508534735,No
5954-BDFSG,Female,No,No,No,72,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0.1706411453254218,No
0434-CSFON,Female,No,Yes,No,47,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0.8474598275631299,Yes
1215-FIGMP,Male,No,No,No,60,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0.5728700916222524,Yes
0526-SXDJP,Male,No,Yes,No,72,No,No/No phone service,DSL,Yes,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0.0088811979042566,No
0557-ASKVU,Female,No,Yes,Yes,18,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,One year,Yes,Credit card (automatic),54.4,957.1,No,0.2529077951582792,No
5698-BQJOH,Female,No,No,No,9,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0.8690306825181139,Yes
5122-CYFXA,Female,No,No,No,3,Yes,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0.7203001283423577,Yes
8627-ZYGSZ,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,Yes,Electronic check,78.9,3650.35,No,0.3769680448560314,No
3410-YOQBQ,Female,No,No,No,31,Yes,No/No phone service,DSL,No/No internet service,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0.1172044426528917,No
3170-NMYVV,Female,No,Yes,Yes,50,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.0153286721058654,No
7410-OIEDU,Male,No,No,No,10,Yes,No/No phone service,Fiber optic,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Mailed check,79.85,887.35,No,0.7063448945222305,Yes
2273-QCKXA,Male,No,No,No,1,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,49.05,49.05,No,0.5714981735119388,Yes
0731-EBJQB,Female,No,Yes,Yes,52,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0.0726018827836133,No
1891-QRQSA,Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No/No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0.1301182523263349,No
8028-PNXHQ,Male,No,Yes,Yes,62,Yes,Yes,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0.0160450371327408,No
5630-AHZIL,Female,No,No,Yes,3,Yes,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0.5018020672320757,Yes
2673-CXQEU,Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No/No internet service,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0.3631554983474874,No
6416-JNVRK,Female,No,No,No,46,Yes,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0.1978595719461432,No
5590-ZSKRV,Female,No,Yes,Yes,8,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,54.65,482.25,No,0.4330054959761874,No
0191-ZHSKZ,Male,Yes,No,No,30,Yes,No/No phone service,DSL,Yes,Yes,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0.5536958839809785,Yes
3887-PBQAO,Female,No,Yes,Yes,45,Yes,Yes,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0.0666560981291149,No
5919-TMRGD,Female,No,No,Yes,1,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0.8771163515373762,Yes
8108-UXRQN,Female,No,Yes,Yes,11,No,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0.5391516676767245,Yes
9191-MYQKX,Female,No,Yes,No,7,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0.795664662391572,Yes
9919-YLNNG,Female,No,No,No,42,Yes,No/No phone service,Fiber optic,No/No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0.6040006075598464,Yes
0318-ZOPWS,Female,No,Yes,No,49,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0.0217706644254945,No
4445-ZJNMU,Male,No,No,No,9,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0.7942480679612182,Yes
4808-YNLEU,Female,No,Yes,No,35,Yes,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0.2372402780926553,No
1862-QRWPE,Female,No,Yes,Yes,48,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0.0172537370118763,No
2796-NNUFI,Female,No,Yes,Yes,46,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0.0286606797304721,No
3016-KSVCP,Male,No,Yes,No,29,No,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,No,Mailed check,33.75,1009.25,No,0.4233700598220853,No
4767-HZZHQ,Male,No,Yes,Yes,30,Yes,No/No phone service,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0.5814481084269021,Yes
2424-WVHPL,Male,Yes,No,No,1,Yes,No/No phone service,Fiber optic,No/No internet service,No/No internet service,No/No internet service,Yes,No/No internet service,No/No internet service,Month-to-month,No,Electronic check,74.7,74.7,No,0.7025959131538146,Yes
7233-PAHHL,Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No/No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0.0724787531630589,No
6067-NGCEU,Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0.5182447510793257,Yes
9848-JQJTX,Male,No,No,No,72,Yes,Yes,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0.1934423294398103,No
8637-XJIVR,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0.7238004280048373,Yes
9803-FTJCG,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,One year,Yes,Credit card (automatic),66.85,4748.7,No,0.0385771025215665,No
0278-YXOOG,Male,No,No,No,5,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0.4043148906875994,No
3212-KXOCR,Male,No,No,No,52,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0.0150555756822233,No
4598-XLKNJ,Female,Yes,Yes,No,25,Yes,No/No phone service,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,0.8308519362982448,Yes
6380-ARCEH,Male,No,No,No,1,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0.4325816454571586,No
3679-XASPY,Female,No,Yes,Yes,1,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0.4720884341850879,No
7123-WQUHX,Male,No,No,No,38,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,Yes,Yes,No/No internet service,One year,No,Bank transfer (automatic),95.0,3605.6,No,0.3437336088448497,No
5386-THSLQ,Female,Yes,Yes,No,66,No,No/No phone service,DSL,No/No internet service,Yes,Yes,No/No internet service,Yes,No/No internet service,One year,No,Bank transfer (automatic),45.55,3027.25,No,0.0664952438236637,No
3192-NQECA,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No/No internet service,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,0.1561964890796323,No
6180-YBIQI,Male,No,No,No,5,No,No/No phone service,DSL,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,24.3,100.2,No,0.5500708698966696,Yes
6728-DKUCO,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No/No internet service,No/No internet service,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0.3133294663237688,No
9750-BOOHV,Female,No,No,No,32,No,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,One year,No,Mailed check,30.15,927.65,No,0.0935932977984965,No
8597-CWYHH,Male,No,No,No,43,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,0.5171143123396159,Yes
2848-YXSMW,Male,No,Yes,Yes,72,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,0.0058543288200002,No
0486-HECZI,Male,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,0.5561674757702525,Yes
4549-ZDQYY,Female,No,No,No,52,Yes,No/No phone service,DSL,Yes,No/No internet service,Yes,Yes,No/No internet service,No/No internet service,One year,No,Credit card (automatic),57.95,3042.25,No,0.050815905286377,No
5712-AHQNN,Female,No,No,No,43,Yes,No/No phone service,Fiber optic,No/No internet service,Yes,Yes,No/No internet service,Yes,No/No internet service,Month-to-month,Yes,Electronic check,91.65,3954.1,No,0.737113049537121,Yes
4846-WHAFZ,Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,0.7494108602074877,Yes
5256-SKJGO,Female,No,Yes,Yes,64,No,No/No phone service,DSL,No/No internet service,Yes,No/No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,0.0373897503070256,No
3071-VBYPO,Male,No,Yes,Yes,3,Yes,No/No phone service,Fiber optic,Yes,Yes,No/No internet service,No/No internet service,Yes,No/No internet service,Month-to-month,No,Electronic check,89.85,248.4,No,0.6639780544591829,Yes
9560-BBZXK,Female,No,No,No,36,No,No/No phone service,DSL,Yes,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Bank transfer (automatic),31.05,1126.35,No,0.028545688070499,No
5299-RULOA,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No/No internet service,No/No internet service,No/No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,0.8330204541472694,Yes
8402-OOOHJ,Female,No,No,No,41,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Two year,No,Mailed check,20.65,835.15,No,0.0256737385052434,No
9445-ZUEQE,Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No/No internet service,Yes,No/No internet service,Yes,No/No internet service,No/No internet service,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,0.4704924939595488,No
1091-SOZGA,Female,No,Yes,Yes,56,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,Yes,No/No internet service,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,0.5000412869125676,Yes
2928-HLDBA,Female,No,No,No,6,Yes,No/No phone service,No,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,0.3926507100109928,No
0404-SWRVG,Male,No,No,No,3,Yes,Yes,Fiber optic,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,No/No internet service,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,0.8576589899115942,Yes
